initial_company_name,original_company_name,parent_company,parent_company_country,industry_naics_3_digit,industry_naics_4_digit,industry_naics_5_digit,revenue_2023_usd
Werner,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Westdeutsche Lotterie GmbH & Co. OHG,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Western Youth Services,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
WHEELS Logistics GmbH & Co. KG,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
White Glove Wireless,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Wilko,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Winkworth Barnet Branch,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
WMF Group,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Workwear Group,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Worthington Enterprises,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"X Byte Communications, LLC",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Xator Corp,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
YALCIN TUKETIM MALLARI TIC. LTD. ST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
YAVUZLAR BEYAZ ESRA DAY. TUK. MAL.,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
YAZICILAR DENZ ACENTALIGI VE NAKLIYAT TICARET,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Yodogawa Steel Works,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Zegna,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Zeon,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ZetaDisplay AB,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ZEYNEP KALKANLI TURKUAZ TEKNOLOJI,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ZF DO BRASIL LTDA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ZheldorExpedition,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ZIPPEL MEDIA GmbH,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Zistos Corporation,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Zones,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
100 Chocolate Cafe,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"1st RND, AD Inc",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
33 Degrees,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3AC,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
AAK,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ABB,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ABB AUTOMACAO LTDA (HQ),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Abcdin,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Abdi İbrahim İlaç,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
AbeTech,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ABP TDS MHENDSLK ANONM RKET,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Absopure Water,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ACADIA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Achmea,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Acron Group,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ACS,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"ACUTECH CO.,LTD.",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
AD Systems UK Limited,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Afaqi Tech,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
AGI,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
AGSI LLC,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
AGT Foods,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
AHA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
AICA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Air BP Norway AS,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Air Force Reserve,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
aju,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
AKPA ALMNYUM SAN. VE TC. A.,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
AKS precision Ball Europe Ltd,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Alcar Route,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ALCYON,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ALEF,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Alimentos Prosalud,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Alnatura,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Alpan Electroline LTD,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Alpen Co,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
AmerCareRoyal,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
American Financial Group,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
AMMINISTRAZIONE PATRIMONIO SEDE APOSTOLI,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Amplitrain,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
AMTEX S.A.,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Andersen Corporation,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Andersen Windows & Doors,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Ansible Health, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ANSIBLEHEALTH,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
AO,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Aquila Technology Limited,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ARaymond,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Architectural Design & Signs, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Ardagh Metal Packaging,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
AREALCONTROL GmbH,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Armada Holdings,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Armada Supply Chain Solutions, LLC",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ARNO GB Limited,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ART ENDSTRI MAKINE SANAYI VE TICARET LIMITED SIRKETI,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ARTHOR OTOMOTIV VE G SISTEMLERI A. S.,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Assmont Gmbh,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Associates in Emergency Care, LLC",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Astre,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Atlanta Bonded Warehouse Corporation,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Attindas,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ATW,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Auchan France,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Auriga Industries,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
AutoTodo,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Avient,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Avolta,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
AVRUPA ELEKTRONIK VE TARIMSAL SAN.,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Axtel S.A.B. de C.V,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BADER Leather,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Bakkavor Group,Not Available,Not Available,Not Available,311 - Food Manufacturing,3114 - Fruit and Vegetable Preserving and Specialty Food Manufacturing,31141 - Frozen Food Manufacturing,Not Available
Banholzer Transporte GmbH & Co. KG,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Banner,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Bardexa Norden,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Barrows North America Inc.,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BARUFFALDI SPA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BAUFELD-OEL GmbH,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Bayer Digital,Not Available,Bayer AG,Germany,325 - Chemical Manufacturing,3254 - Pharmaceutical and Medicine Manufacturing,32541 - Pharmaceutical and Medicine Manufacturing,"54,000 M"
BBC Group,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"BBS of America, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
beamSmart,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Beaver Street Fisheries,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BEBIDAS PURIFICADAS S DE RL DE CV,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BEH Group,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Belconn,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Bell Production S.p.A.,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BENCROS,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Benzler and Radicon,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Best Made,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Beyonics,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BFI Beratungsgesellschaft fur,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Bharti Airtel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Big Country RV,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BITZER,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
blackned GmbH,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Bleckmann,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BLK,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
bofrost,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Bohra Information Technology Solutions,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BOONTHAVORN LIFESTYLE FURNITURE COM,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Born,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Bosch Power Tools,Not Available,Robert Bosch GmbH,Germany,333 - Machinery Manufacturing,3339 - Other General Purpose Machinery Manufacturing,33399 - All Other General Purpose Machinery Manufacturing,Not Available
Boysen,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BP Aviation A/S,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BP Belgium NV/SA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BP OIL HELLENIC S.M.S.A.,Not Available,BP plc,United Kingdom,324 - Petroleum and Coal Products Manufacturing,3241 - Petroleum and Coal Products Manufacturing,32411 - Petroleum Refineries,Not Available
Brandt,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BREATHEB,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Breezie, Inc",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Brevik Musikkorps,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Broccoli Europe Ltd,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Brock,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Brookshire Grocery,Not Available,Not Available,Not Available,445 - Food and Beverage Stores,4451 - Grocery Stores,44511 - Supermarkets and Other Grocery (except Convenience) Stores,Not Available
BTC Group,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BTIG,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Bundesministerium des Innern,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Bundespolizeipräsidium,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Burelle,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BUT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
C.I. RECYCLABLES S.A.S.,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Cabinetworks Group,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Cactus,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Calero MDSL Limited,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Call One, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CALORCOL S.A.S.,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Cameo Global Inc,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Camgian Microsystems Corporation,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Canam Group,Not Available,"Canam Group, Inc.",Canada,332 - Fabricated Metal Product Manufacturing,3323 - Architectural and Structural Metals Manufacturing,33231 - Plate Work and Fabricated Structural Product Manufacturing,"1,100 M"
CANCOM GmbH,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Capital Valves Ltd,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Cardinal Glass Industries,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CareWorx,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Carl Zeiss Innovationszentrum für Messtechnik,Not Available,Carl Zeiss AG,Germany,333 - Machinery Manufacturing,3335 - Metalworking Machinery Manufacturing,"333514 - Special Tool, Die, Jig, and Fixture Manufacturing",Not Available
Carpenter,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Castellni Group,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"CEN Media Holding, LLC",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CEREN KOCAK,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CHEIL MEXICO SA DE CV,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"CHEMTROVINA CO.,LTD",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Cheonma Industrial Ltd. Co.,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Children's Center of Wayne County,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"CHONGQING HANON SYSTEMS CO., LTD",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Church of Jesus,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CI INVERMEC S.A,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
City Electrical Factors,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"CITY MALL GROUP CO., LTD.",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
City of Tampa,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
City Property Management Corp.,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Clear Channel Airports_FL33406_6.000%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Clear Channel Airports_NJ07608_6.625%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CLIMATE SYSTEMS MEXICANA S.A. de C.,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CMI Foods,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Coclisa, S.A. de C.V.",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Cofan USA Inc,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
COMERCIAL PRA CAFE LTDA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
COMERCIALIZADORA INDUCASCOS S.A.S.,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Command Security Corporation,Not Available,Not Available,Not Available,561 - Administrative and Support Services,5616 - Investigation and Security Services,"56161 - Investigation, Guard, and Armored Car Services",Not Available
Compass Health,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
compleet GmbH,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Complete Tablet Solutions, Ltd.",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Computer Security Solutions LLC,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Computop Wirtschaftsinformatik GmbH,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CONA Services LLC,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CONAD Adriatico,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Cónico,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CONTAINER OPERATORS S A,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CONTINENTAL FOODS SWEDEN AB,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Convoy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Co-operative Group Limited,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"COPPERWIRE SYSTEMS, INC",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Crane NXT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Nkmz,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Noble Piastic,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Nomad Solutions,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Nordic Chemical Solutions,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
