initial_company_name,original_company_name,parent_company,parent_company_country,industry_naics_3_digit,industry_naics_4_digit,industry_naics_5_digit,revenue_2023_usd
UCYILDIZ ELEKTRONIK BILISIM PERAKEN,UCYILDIZ ELEKTRONIK BILISIM PERAKEN,UCYILDIZ ELEKTRONIK BILISIM PERAKEN,Not Available,Not Available,Not Available,Not Available,Not Available
Umbral,Umbra,Umbra,US,334 - Aerospace Product and Parts Manufacturing,3345 - Guided Missile and Space Vehicle Manufacturing,334511 - Guided Missile and Space Vehicle Manufacturing,Not Available
Unicomer Group,Unicomer Group,Unicomer Group,El Salvador,452 - General Merchandise Stores,4529 - Other General Merchandise Stores,452990 - All Other General Merchandise Stores,Not Available
Uniphar,Durbin Expanded Access,Uniphar plc,Ireland,"424 - Merchant Wholesalers, Nondurable Goods",4242 - Drugs and Druggists' Sundries Merchant Wholesalers,42421 - Drugs and Druggists' Sundries Merchant Wholesalers,"2,890 M"
Unitech,Unitech Limited,Unitech Limited,India,236 - Construction of Buildings,2362 - Nonresidential Building Construction,236210 - Industrial Building Construction,Not Available
UNITECH SRO,UNITECH Trade s.r.o.,UNITECH Trade s.r.o.,CZ,469 - Miscellaneous Durable Goods Merchant Wholesalers,4690 - Miscellaneous Durable Goods Merchant Wholesalers,469000 - Miscellaneous Durable Goods Merchant Wholesalers,Not Available
United Chemcials Company,United Chemicals Company,Saeed Radad Group,Saudi Arabia,325 - Chemical Manufacturing,3253 - Basic Chemical Manufacturing,325312 - Basic Inorganic Chemical Manufacturing,Not Available
Univa Corporation,Univa Corporation,Altair Engineering Inc.,US,5416 - Computer Systems Design and Related Services,541690 - Other Computer Related Services,54169000 - Other Computer Related Services,Not Available
Universal Limousine and Transportat,Universal Limousine and Transportation,Universal Limousine and Transportation,US,4859 - Transit and Ground Passenger Transportation,4859 - Transit and Ground Passenger Transportation,485910 - Charter Bus Industry,Not Available
"UNIVERSAL POWER SOLUTIONS, INC","Universal Power Solutions, Inc.",San Miguel Global Power Holdings Corp.,Philippines,"3353 - Electrical Equipment, Appliance, and Component Manufacturing","3353A - Electrical Power Generation, Transmission and Distribution Equipment Manufacturing",3353A1 - Battery Manufacturing,Not Available
Ureblock,Ureblock,Ureblock,Mexico,325 - Chemical Manufacturing,"3252 - Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing",325211 - Plastics Material and Resin Manufacturing,Not Available
URLA DAYANIKLI TKETIM MALLARI TURIZM INSAAT SAN.VE TIC.LDT.STI.,URLA DAYANIKLI TÜKETİM MALLARI TURİZM İNŞAAT SAN.VE TİC.LTD.STİ.,URLA DAYANIKLI TÜKETİM MALLARI TURİZM İNŞAAT SAN.VE TİC.LTD.STİ.,Turkey,31 - Manufacturing,311 - Food Manufacturing,3118 - Specialty Food Manufacturing,Not Available
URSA,Ursa Space Systems,Ursa Space Systems,US,"541 - Data Processing, Hosting, and Related Services","5413 - Data Processing, Hosting, and Related Services","54133 - Data Processing, Hosting, and Related Services",Not Available
US Aid,United States Agency for International Development (USAID),United States Agency for International Development (USAID),US,923 - Administration of Human Resource Programs,9231 - Administration of Human Resource Programs,92311 - Administration of Education Programs,"50,000 M"
US ARMY,United States Army,Department of Defense,United States,"8133 - Religious, Grantmaking, Civic, Professional, and Similar Organizations",813310 - Religious Organizations,81331000X - Religious Organizations,Not Available
US Navy,United States Navy,Department of Defense,US,5617 - Security and Investigation Services,5617 - Security Services,56173000 - Security Services,Not Available
V Ships USA,V Ships USA,V.Group,United Kingdom,488 - Support Activities for Transportation,4882 - Support Activities for Rail Transportation,488210 - Support Activities for Rail Transportation,Not Available
Valora Retail Services GmbH,Valora Retail Services GmbH,Valora Holding AG,Switzerland,452 - Retail Trade,4521 - General Merchandise Stores,452110 - General Merchandise Stores,Not Available
Van Eyck Wijnkelders,Van Eyck Wijnkelders B.V.,Van Eyck Wijnkelders B.V.,The Netherlands,445 - Retail Trade,"4451 - Beer, Wine, and Liquor Retailers","44511 - Beer, Wine, and Liquor Retailers",Not Available
Vector Media Holding Corp.,Vector Media Holding Corp.,Vector Media Holding Corp.,US,"541 - Professional, Scientific, and Technical Services","5418 - Advertising, Public Relations, and Related Services",541810 - Advertising Agencies,Not Available
Vendera Inc,Vendera Resources,"Vendera Management Holdings, LLC",US,211 - Oil and Gas Extraction,2111 - Oil and Gas Extraction,21112 - Crude Petroleum Extraction,Not Available
Versuni,Philips Domestic Appliances,Royal Philips,Netherlands,"335 - Electrical Equipment, Appliance, and Component Manufacturing",3359 - Other Electrical Equipment and Component Manufacturing,33591 - Battery Manufacturing,Not Available
Vguard,V-Guard Industries Limited,V-Guard Industries Limited,India,"335 - Electrical Equipment, Appliance, and Component Manufacturing",3359 - Other Electrical Equipment and Component Manufacturing,33591 - Battery Manufacturing,Not Available
"VICOM Computer Services, Inc.","Vicom Computer Services, Inc.",Converge Technology Solutions Corp.,US,541 - Computer Systems Design and Related Services,5415 - Computer Systems Design and Related Services,541511 - Custom Computer Programming Services,Not Available
VIP Connection,VIP Connection,VIP Connection,US,485 - Transit and Ground Passenger Transportation,4851 - Urban Transit Systems,48511 - Urban Transit Systems,Not Available
VIP Norway,VIP Norway,VIP Norway,Norway,312 - Beverage Manufacturing,3121 - Beverage Manufacturing,312112 - Bottled Water Manufacturing,Not Available
Virginia Transformer,Virginia Transformer Corp,Virginia Transformer Corp,US,"335 - Electrical Equipment, Appliance, and Component Manufacturing",3353 - Electrical Equipment Manufacturing,33531 - Transformer Manufacturing,Not Available
"Virtual Supply, Inc.",Don Burcham Co.,Virtual Supply,US,"424 - Merchant Wholesalers, Durable Goods","4243 - Electrical and Electronic Appliance, and Component Merchant Wholesalers",424310 - Electrical and Electronic Appliance and Component Merchant Wholesalers,Not Available
VISIOCONT@CT S.A.R.L,Visiocont@ct S.A.R.L.,Visiocont@ct S.A.R.L.,Not Available,Not Available,Not Available,Not Available,Not Available
Vision Service Plan,Vision Service Plan,VSP Vision,US,524 - Insurance Carriers,52411 - Direct Health and Medical Insurance Carriers,524111 - Direct Health and Medical Insurance Carriers,Not Available
VISIONWORKS,"Visionworks of America, Inc.",VSP Global,US,561 - Administrative and Support Services,5613 - Employment Services,561320 - Temporary Help Services,Not Available
Vitra Design Museum GmbH,Vitra Design Museum GmbH,Vitra AG,Germany,"712 - Museums, Zoos, and Botanical Gardens",7121 - Museums,71211 - Museums,Not Available
VIVAZ DISTRIBUIDORA DE COSMETICO EI,VIVAZ DISTRIBUIDORA DE COSMETICO EI,VIVAZ DISTRIBUIDORA DE COSMETICO EI,Not Available,Not Available,Not Available,Not Available,Not Available
VOO,Vanguard S&P 500 ETF,"The Vanguard Group, Inc.",US,"523 - Securities, Commodity Contracts, and Other Financial Investments and Related Activities",5239 - Other Financial Investment Activities,523920 - Investment Advice,Not Available
VRG DONGWHA MDF JOINT STOCK COMPANY (VRG DONGWHA),VRG DONGWHA MDF JOINT STOCK COMPANY,Vietnam Rubber Industry Group and Dongwha Holdings,Vietnam,321 - Wood Product Manufacturing,"3211 - Veneer, Plywood, and Engineered Wood Product Manufacturing","3211131 - Fiberboard, Wood",Not Available
Waberer's International Nyrt.,Waberer's International Nyrt.,Waberer's International Nyrt.,Hungary,484 - Truck Transportation,4841 - General Freight Trucking,"484110 - General Freight Trucking, Local",430 M
WALFF INDUSTRIAL SA,Walff Industrial SA,Walff Industrial SA,Brazil,325 - Chemical Manufacturing,"3252 - Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing",325211 - Plastics Material and Resin Manufacturing,Not Available
Waltham Traders,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Warabeya Nichiyo Holdings,"Warabeya Nichiyo Holdings Co., Ltd.","Warabeya Nichiyo Holdings Co., Ltd.",Japan,3119 - Food Manufacturing,3119 - Food Manufacturing (except bakery products),311920 - Prepared Foods Manufacturing,Not Available
Waves Computer Supplies,Waves Computer Supplies,Waves Computer Supplies,United Arab Emirates,334 - Computer and Electronic Product Manufacturing,3341 - Computer and Peripheral Equipment Manufacturing,33411 - Computer and Peripheral Equipment Manufacturing,Not Available
WAVETROLNIX,WAVETROLNIX,WAVETROLNIX,Not Available,Not Available,Not Available,Not Available,Not Available
WAWA Sofa Collection,WAWA Sofa Collection,WAWA Sofa Collection,United Kingdom,337 - Furniture and Related Product Manufacturing,3371 - Household and Institutional Furniture and Kitchen Cabinet Manufacturing,337111 - Wood Kitchen Cabinet and Countertop Manufacturing,Not Available
"WBL CO., LTD.","WBL CO., LTD.","WBL CO., LTD.",South Korea,Not Available,Not Available,Not Available,Not Available
Weber,Weber Inc.,Weber Inc.,US,339 - Miscellaneous Manufacturing,3399 - Other Miscellaneous Manufacturing,33999 - All Other Miscellaneous Manufacturing,Not Available
Weber Metals,Weber Metals Inc.,Otto Fuchs Metallwerke,Germany,332 - Forging and Stamping,3323 - Forging and Stamping,33231 - Aluminum Forgings,Not Available
WEBUILD SPA,Salini Impregilo SpA,Salini Costruttori S.p.A.,Italy,236 - Construction of Buildings,2362 - Nonresidential Building Construction,236210 - Industrial Building Construction,Not Available
WEC Energy Group,Not Available,WEC Energy Group,US,221 - Utilities,"2211 - Electric Power Generation, Transmission and Distribution",221110 - Electric Power Generation,Not Available
Werner,"Werner Enterprises, Inc.","Werner Enterprises, Inc.",US,484 - Truck Transportation,4841 - General Freight Trucking,"484110 - General Freight Trucking, Local","3,280 M"
Westdeutsche Lotterie GmbH & Co. OHG,Westdeutsche Lotterie GmbH & Co. OHG,NRW Bank and Nordwestlotto,Germany,"713 - Amusement, Gambling, and Recreation Industries",7132 - Gambling Industries,71321 - Casinos (except Casino Hotels),Not Available
Western Youth Services,Teenage Resource Center,Western Youth Services,US,621 - Ambulatory Health Care Services,6219 - Other Ambulatory Health Care Services,621911 - Mental Health and Substance Abuse Facilities,23.995 M
WHEELS Logistics GmbH & Co. KG,WHEELS Logistics GmbH & Co. KG,WHEELS Logistics GmbH & Co. KG,Germany,484 - Truck Transportation,4841 - General Freight Trucking,"484110 - General Freight Trucking, Local",Not Available
White Glove Wireless,White Glove Wireless,White Glove Wireless,Not Available,Not Available,Not Available,Not Available,Not Available
Wilko,Wilko Ltd.,Wilko Ltd.,United Kingdom,452 - Retail Trade,452910 - Home Furnishings Stores,45291000 - Home Furnishings Stores,Not Available
Winkworth Barnet Branch,Winkworth plc,Winkworth plc,United Kingdom,531 - Real Estate,5312 - Offices of Real Estate Agents and Brokers,53121 - Offices of Real Estate Agents and Brokers,Not Available
WMF Group,WMF GmbH,Groupe SEB,Germany,333 - Machinery Manufacturing,"3331 - Agriculture, Construction, and Mining Machinery Manufacturing",333112 - Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,Not Available
Workwear Group,Workwear Group,Wesfarmers,Australia,315 - Apparel Manufacturing,3152 - Cut and Sew Apparel Manufacturing,31522 - Men's and Boys' Cut and Sew Apparel Manufacturing,Not Available
Worthington Enterprises,Worthington Industries,Worthington Enterprises,US,332 - Fabricated Metal Product Manufacturing,3323 - Architectural and Structural Metals Manufacturing,332311 - Prefabricated Metal Building and Component Manufacturing,Not Available
"X Byte Communications, LLC","X Byte Communications, LLC","X Byte Communications, LLC",Not Available,Not Available,Not Available,Not Available,Not Available
Xator Corp,Xator Corp.,Parsons Corporation,US,541 - Engineering Services,5413 - Engineering Services,54133 - Engineering Services,300 M
YALCIN TUKETIM MALLARI TIC. LTD. ST,YALCIN TUKETIM MALLARI TIC. LTD. STI.,YALCIN TUKETIM MALLARI TIC. LTD. STI.,Turkey,442 - Furniture and Home Furnishings Stores,4421 - Furniture Stores,44211 - Furniture Stores,78.15 M
YAVUZLAR BEYAZ ESRA DAY. TUK. MAL.,YAVUZLAR BEYAZ ESRA DAY. TUK. MAL.,YAVUZLAR BEYAZ ESRA DAY. TUK. MAL.,Not Available,Not Available,Not Available,Not Available,Not Available
YAZICILAR DENZ ACENTALIGI VE NAKLIYAT TICARET,Yazicilar Deniz Acentaligi Ve Nakliyat Ticaret Ltd. Sti.,Yazicilar Deniz Acentaligi Ve Nakliyat Ticaret Ltd. Sti.,Turkey,488 - Transportation Support Activities,4882 - Freight Transportation Arrangement,488210 - Freight Transportation Arrangement,Not Available
Yodogawa Steel Works,"Yodogawa Steel Works, Ltd.","Yodogawa Steel Works, Ltd.",Japan,331 - Fabricated Metal Product Manufacturing,3311 - Iron and Steel Mills and Ferroalloy Manufacturing,33111 - Iron and Steel Mills,"1,830 M"
Zegna,Ermenegildo Zegna Group,Ermenegildo Zegna Group,Italy,315 - Apparel Manufacturing,3152 - Men's and Boys' Cut and Sew Apparel Manufacturing,"31522 - Men's and Boys' Cut and Sew Suits, Coats, and Overcoats Manufacturing","1,900 M"
Zeon,Zeon Chemicals LP,Zeon Corporation,United States,325 - Chemical Manufacturing,"3252 - Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing",325212 - Synthetic Rubber Manufacturing,Not Available
ZetaDisplay AB,ZetaDisplay AB,ZetaDisplay AB (publ),Sweden,"5416 - Management, Scientific, and Technical Consulting Services",54161 - Management Consulting Services,541611 - Administrative Management and General Management Consulting Services,45 M
ZEYNEP KALKANLI TURKUAZ TEKNOLOJI,Zeyneb Kalkanlı,Zeyneb Kalkanlı,Not Available,Not Available,Not Available,Not Available,Not Available
ZF DO BRASIL LTDA,ZF Automotive Brasil Ltda.,ZF Friedrichshafen AG,Germany,336 - Transportation Equipment Manufacturing,336314 - Motor Vehicle Transmission and Power Train Parts Manufacturing,33631401 - Motor Vehicle Transmission and Power Train Parts Manufacturing,Not Available
ZheldorExpedition,ZheldorExpedition,ZheldorExpedition,Russia,3363 - Manufacturing: Transportation Equipment,336313 - Ship and Boat Building,3363131 - Ship Building,Not Available
ZIPPEL MEDIA GmbH,Zippel Media GmbH,Zippel Media GmbH,Germany,511 - Publishing Industries (except Internet),5112 - Software Publishers,511210 - Software Publishers,Not Available
Zistos Corporation,Zistos Corporation,Zistos Corporation,US,334 - Computer and Electronic Product Manufacturing,3343 - Audio and Video Equipment Manufacturing,334310 - Audio and Video Equipment Manufacturing,Not Available
Zones,"Zones, LLC","Zones, LLC",US,561 - Administrative and Support Services,5614 - Business Support Services,561422 - Telemarketing Bureaus and Other Contact Centers,584.9 M
100 Chocolate Cafe,100% Chocolate Cafe,"Meiji Co., Ltd.",Japan,445 - Specialty Food Stores,4451 - Chocolate and Confectionery Stores,44512 - Chocolate and Confectionery Stores,Not Available
"1st RND, AD Inc",Motional AD Inc.,Hyundai Motor Group,US,336 - Transportation Equipment Manufacturing,3363 - Motor Vehicle Parts Manufacturing,336399 - All Other Motor Vehicle Parts Manufacturing,Not Available
33 Degrees,33 Degrees LLC,33 Degrees LLC,US,"541 - Professional, Scientific, and Technical Services","5416 - Management, Scientific, and Technical Consulting Services",541690 - Other Scientific and Technical Consulting Services,Not Available
3AC,Three Arrows Capital,Three Arrows Capital,Singapore,5239 - Investment Advice,523920 - Investment Advice,5239200 - Investment Advice,Not Available
AAK,AAK AB,AAK AB,Sweden,3119 - Other Food Manufacturing,311922 - Specialty Canning,3119221 - Not Available,Not Available
ABB,Asea Brown Boveri Ltd.,Asea Brown Boveri Ltd.,CH,"335 - Electrical Equipment, Appliance, and Component Manufacturing",3353 - Electrical Equipment Manufacturing,33531 - Electrical Equipment Manufacturing,"32,240 M"
ABB AUTOMACAO LTDA (HQ),ABB AUTOMACAO LTDA,ABB Ltd,Brazil,334 - Computer and Electronic Product Manufacturing,3341 - Computer and Peripheral Equipment Manufacturing,33411 - Computer and Peripheral Equipment Manufacturing,Not Available
Abcdin,Abcdin,Empresas Copec,Chile,442 - Retail Trade,4421 - Household Furniture and Home Furnishings Stores,44211 - Household Furniture Stores,Not Available
Abdi İbrahim İlaç,Abdi İbrahim İlaç Sanayi ve Ticaret A.S.,Abdi İbrahim İlaç Sanayi ve Ticaret A.S.,Türkiye,3254 - Pharmaceutical and Medicine Manufacturing,325412 - Pharmaceutical Preparation Manufacturing,3254121 - Pharmaceutical Preparation Manufacturing,Not Available
AbeTech,AbeTech,AbeTech,US,"541 - Professional, Scientific, and Technical Services",5415 - Computer Systems Design and Related Services,54151 - Computer Systems Design and Related Services,Not Available
ABP TDS MHENDSLK ANONM RKET,ABP TDS Taşıma Depolama Sistemleri,ABP Makina,Turkey,333 - Manufacturing,333314 - Fabricated Metal Product Manufacturing for the Transportation Equipment Manufacturing Industry,33331401 - Wind Turbine and Other Wind Power Equipment Manufacturing,Not Available
Absopure Water,Absopure Water Company,Absopure Water Company,US,312 - Beverage and Tobacco Product Manufacturing,3121 - Beverage Manufacturing,31211 - Soft Drink and Ice Manufacturing,Not Available
ACADIA,Acadia Pharmaceuticals Inc.,Acadia Pharmaceuticals Inc.,US,3254 - Pharmaceutical and Medicine Manufacturing,325412 - Pharmaceutical and Medicine Manufacturing,3254121 - Biological Product (except Diagnostic) Manufacturing,726 M
Achmea,Achmea Investment Management,Achmea B.V.,Netherlands,525 - Finance and Insurance,5251 - Insurance Carriers,52511 - Direct Health and Medical Insurance Carriers,Not Available
Acron Group,Acron Group,Terasta Enterprises Limited,Russia,325 - Chemical Manufacturing,"3253 - Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",325312 - Phosphatic Fertilizer Manufacturing,Not Available
ACS,ACS Group,ACS Group,Spain,236 - Construction,2362 - Heavy and Civil Engineering Construction,236220 - Land Subdivision and Land Development,Not Available
"ACUTECH CO.,LTD.","ACUTECH CO., LTD.","ACUTECH CO., LTD.",Thailand,488 - Transportation and Warehousing,4883 - Support Activities for Transportation,488390 - Other Support Activities for Transportation,Not Available
AD Systems UK Limited,A.D. Systems (UK) Ltd,Allegion,United Kingdom,332 - Fabricated Metal Product Manufacturing,3323 - Architectural and Structural Metals Manufacturing,33231 - Plate Work and Fabricated Structural Product Manufacturing,Not Available
Afaqi Tech,AFAQY,AFAQY,Not Available,334 - Computer and Electronic Product Manufacturing,3342 - Computer and Peripheral Equipment Manufacturing,33421000 - Computer and Peripheral Equipment Manufacturing,Not Available
AGI,"Ag Growth International, Inc.","Ag Growth International, Inc.",Canada,333 - Manufacturing,3333 - Commercial and Service Industry Machinery Manufacturing,333314 - Agricultural Implement Manufacturing,Not Available
AGSI LLC,AGSI LLC,AGSI LLC,US,"423 - Merchant Wholesalers, Durable Goods",4234 - Professional and Commercial Equipment and Supplies Merchant Wholesalers,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,Not Available
AGT Foods,AGT Food and Ingredients Inc.,Fairfax Financial Holdings Limited,Canada,311 - Food Manufacturing,3119 - Food Manufacturing,311920 - Pulse Crops Processing,Not Available
AHA,American Heart Association,American Heart Association,US,"813 - Religious, Grantmaking, Civic, Professional, and Similar Organizations",8133 - Social Advocacy Organizations,813310 - Social Advocacy Organizations,Not Available
AICA,AICA HPL Trading Company,"Aica Kogyo Co., Ltd.",Japan,325 - Chemical Manufacturing,"3252 - Resin, Synthetic Rubber, and Artificial Fibers",325211 - Adhesive Manufacturing,Not Available
Air BP Norway AS,Air BP Norway AS,BP p.l.c.,Norway,"424 - Merchant Wholesalers, Nondurable Goods",4247 - Petroleum and Petroleum Products Merchant Wholesalers,424710 - Petroleum Bulk Stations and Terminals,Not Available
Air Force Reserve,Air Force Reserve Command (AFRC),United States Department of the Air Force (DAF),US,"921 - Federal, State, and Local Government",9211 - Federal Government,921110 - Federal Government,Not Available
